model,task,protocol,seed0_percent,seed1_percent,seed42_percent,mean_percent,sample_std_percent,random_mean_percent,mean_excess_over_random_pp,v05_h200_mean_percent,delta_from_v05_h200_pp,mean_trace_hamming_from_v05_h200,issue_3_4090d_mean_percent,delta_from_issue_3_pp
official-lewm,pusht,moderate,87,87,86,86.6666666667,0.5773502692,4,82.6666666667,86.3333333333,0.3333333333,5,,
official-lewm,pusht,strict,65,76,71,70.6666666667,5.5075705473,5,65.6666666667,70.3333333333,0.3333333333,5,70.6666666667,0
official-lewm,cube,moderate,46,52,53,50.3333333333,3.7859388972,15.6666666667,34.6666666667,50.3333333333,0,9.3333333333,,
official-lewm,cube,strict,20,27,18,21.6666666667,4.7258156263,6,15.6666666667,26.3333333333,-4.6666666667,10,21.6666666667,0
official-lewm,reacher,moderate,79,80,80,79.6666666667,0.5773502692,7.3333333333,72.3333333333,46,33.6666666667,43.6666666667,,
official-lewm,reacher,strict,86,87,88,87,1,8,79,43,44,48.6666666667,40.3333333333,46.6666666667
official-lewm,tworoom,moderate,89,81,79,83,5.2915026221,6.6666666667,76.3333333333,84,-1,7,,
official-lewm,tworoom,strict,50,55,49,51.3333333333,3.2145502537,1.6666666667,49.6666666667,58.3333333333,-7,23.6666666667,51.6666666667,-0.3333333333
dinov2-no-proprio-lewm,pusht,moderate,10,3,8,7,3.6055512755,4,3,,,,,
dinov2-no-proprio-lewm,pusht,strict,10,9,7,8.6666666667,1.5275252317,5,3.6666666667,,,,,
dinov2-no-proprio-lewm,cube,moderate,47,42,45,44.6666666667,2.5166114784,15.6666666667,29,,,,,
dinov2-no-proprio-lewm,cube,strict,13,10,16,13,3,6,7,,,,,
dinov2-no-proprio-lewm,tworoom,moderate,39,38,54,43.6666666667,8.9628864398,6.6666666667,37,,,,,
dinov2-no-proprio-lewm,tworoom,strict,28,24,25,25.6666666667,2.0816659995,1.6666666667,24,,,,,
gcbc-joint-lewm,pusht,moderate,5,2,9,5.3333333333,3.5118845843,4,1.3333333333,,,,,
gcbc-joint-lewm,pusht,strict,7,6,9,7.3333333333,1.5275252317,5,2.3333333333,,,,,
gcbc-joint-lewm,cube,moderate,15,25,13,17.6666666667,6.4291005073,15.6666666667,2,,,,,
gcbc-joint-lewm,cube,strict,3,6,2,3.6666666667,2.0816659995,6,-2.3333333333,,,,,
gcbc-joint-lewm,tworoom,moderate,19,16,13,16,3,6.6666666667,9.3333333333,,,,,
gcbc-joint-lewm,tworoom,strict,6,8,6,6.6666666667,1.1547005384,1.6666666667,5,,,,,
